domain,scheme,x,rep,gen,best_fitness,mean_fitness,best_distance,mean_distance,mean_novelty
evogym,darwinian,0.1,3,14,0.23211035713983771,0.1897663451630598,5.943793749898107,2.4542528656337765,0.1921717085851707
evogym,darwinian,0.1,3,15,0.23211035713983771,0.2062797521868283,5.943793749898107,2.44780758609282,0.20763670657744773
evogym,darwinian,0.1,3,16,0.2902071575032952,0.2101070826086299,5.943793749898107,2.521476065459024,0.21774076230845507
evogym,darwinian,0.1,3,17,0.2902071575032952,0.2035598035529628,6.3166634552421685,2.737563763660762,0.21058167814109843
evogym,darwinian,0.1,3,18,0.2902071575032952,0.20698280637268054,6.3166634552421685,2.658193144174254,0.21600407567267163
evogym,darwinian,0.1,3,19,0.2902071575032952,0.20500159891496664,6.3166634552421685,2.705109550280947,0.21484267899326195
evogym,darwinian,0.1,3,20,0.2902071575032952,0.2022589123963429,6.3166634552421685,2.674573208292098,0.2138699459911994
evogym,darwinian,0.1,3,21,0.2902071575032952,0.20176270833697024,6.3166634552421685,2.5133223038163175,0.21449312284739105
evogym,darwinian,0.1,3,22,0.2902071575032952,0.20545778548235685,6.3166634552421685,2.4151868813161763,0.22260989358140765
evogym,darwinian,0.1,3,23,0.2902071575032952,0.20545417544710504,6.3166634552421685,2.8839952102701765,0.21243475760753125
evogym,darwinian,0.1,3,24,0.3010630539960475,0.2058479896151449,6.3166634552421685,2.534438496084369,0.22354263101567134
evogym,darwinian,0.1,3,25,0.3185816148904514,0.21108571965633605,6.3166634552421685,2.463965732627254,0.22900146268124688
evogym,darwinian,0.1,3,26,0.32001830514389484,0.20579041659262973,5.943793749898107,2.423748250087736,0.2256562128514099
evogym,darwinian,0.1,3,27,0.32001830514389484,0.20690701041081327,5.943793749898107,2.055621091092207,0.23165897665824006
evogym,darwinian,0.1,3,28,0.32001830514389484,0.20587945574437988,5.943793749898107,2.4567818674733406,0.21579467980613298
evogym,darwinian,0.1,3,29,0.34161929900614696,0.21437320370177826,6.5587654475539425,2.226930962539435,0.22610197831769246
evogym,darwinian,0.1,3,30,0.34161929900614696,0.2198731954947864,6.5587654475539425,2.470373421856977,0.21587418732974278
evogym,darwinian,0.25,1,0,0.27215623164788894,0.23967626740053957,3.012489129217817,1.6082160552550924,0.24395915355202455
evogym,darwinian,0.25,1,1,0.27215623164788894,0.23967626740053957,3.012489129217817,1.6082160552550924,0.24395915355202455
evogym,darwinian,0.25,1,2,0.2756533012236927,0.2370278121261374,3.012489129217817,1.5520386585045813,0.21152702000286167
evogym,darwinian,0.25,1,3,0.27878456083445224,0.2416610216404303,3.8001468540556487,1.929296049138197,0.2000286560161483
evogym,darwinian,0.25,1,4,0.27878456083445224,0.2495541150056677,3.8001468540556487,2.1395376872197285,0.19807459678103878
evogym,darwinian,0.25,1,5,0.27878456083445224,0.24300862114545466,4.559530260921653,2.4780603829420227,0.1789497938422309
evogym,darwinian,0.25,1,6,0.28439959271694415,0.24636976599453025,4.702374938036268,2.5706941165221773,0.18264841983759933
evogym,darwinian,0.25,1,7,0.28439959271694415,0.24273577328316392,4.759693423986558,2.7543717187619725,0.17123387703137988
evogym,darwinian,0.25,1,8,0.28439959271694415,0.24720960650814128,4.759693423986558,2.650553672572356,0.18934529914378856
evogym,darwinian,0.25,1,9,0.27802839075416663,0.2350657291887858,5.282390921696265,3.0680693479490744,0.1602432707968485
evogym,darwinian,0.25,1,10,0.27802839075416663,0.2425412156551722,5.282390921696265,2.9625177005599905,0.18141106732296078
evogym,darwinian,0.25,1,11,0.34459298520231313,0.2343894430017083,6.815150578300034,3.129996563926492,0.17803157006134732
evogym,darwinian,0.25,1,12,0.37501137135597684,0.23914561145060334,6.815150578300034,3.101623562158369,0.18773930594207994
evogym,darwinian,0.25,1,13,0.37501137135597684,0.2384206407600121,6.815150578300034,3.200735634172658,0.18058755862152603
evogym,darwinian,0.25,1,14,0.37501137135597684,0.24266162306206743,6.815150578300034,3.4125544831051613,0.17656336426350178
evogym,darwinian,0.25,1,15,0.37501137135597684,0.24649824444992924,6.815150578300034,3.543305876024759,0.16837302467556914
evogym,darwinian,0.25,1,16,0.37501137135597684,0.25337291046515636,6.815150578300034,3.8956182174582574,0.1630859661665876
evogym,darwinian,0.25,1,17,0.37501137135597684,0.2532898542279129,6.815150578300034,3.6060177878254978,0.17574738453701985
evogym,darwinian,0.25,1,18,0.37501137135597684,0.2550307300391107,6.815150578300034,3.7634828162207774,0.16808714881338668
evogym,darwinian,0.25,1,19,0.37501137135597684,0.2649624126320633,6.815150578300034,3.92568512236233,0.16993438724511026
evogym,darwinian,0.25,1,20,0.37501137135597684,0.27060174549637217,6.815150578300034,3.927229469499438,0.17801374764530298
evogym,darwinian,0.25,1,21,0.37501137135597684,0.26795972177652017,6.815150578300034,3.950307704417334,0.17331818921597159
evogym,darwinian,0.25,1,22,0.37501137135597684,0.2621557076344363,6.815150578300034,3.906514883917567,0.16895495103328326
evogym,darwinian,0.25,1,23,0.37501137135597684,0.26325551419209736,6.815150578300034,3.96908070619248,0.16749684268438353
evogym,darwinian,0.25,1,24,0.37501137135597684,0.2661176736743611,6.815150578300034,3.888124406915483,0.17449267699488683
evogym,darwinian,0.25,1,25,0.37501137135597684,0.2719241229916679,6.815150578300034,4.064938998154636,0.17320694662740463
evogym,darwinian,0.25,1,26,0.37501137135597684,0.27481290793594243,6.815150578300034,4.253203119406139,0.16951573643589507
evogym,darwinian,0.25,1,27,0.37501137135597684,0.2835449134405201,6.815150578300034,4.206402944626182,0.17909412584120896
evogym,darwinian,0.25,1,28,0.37501137135597684,0.27200231547668874,6.815150578300034,4.089755809673045,0.16742636366534905
evogym,darwinian,0.25,1,29,0.37501137135597684,0.2859816572928861,6.815150578300034,4.238404232224028,0.17750070642203714
evogym,darwinian,0.25,1,30,0.37501137135597684,0.28700943553387587,6.815150578300034,4.316891816724886,0.17201328717398176
evogym,darwinian,0.25,2,0,0.28082896794109924,0.20133303090608995,3.7934770514478684,1.7572443493632925,0.22526587738616016
evogym,darwinian,0.25,2,1,0.28082896794109924,0.20133303090608995,3.7934770514478684,1.7572443493632925,0.22526587738616016
evogym,darwinian,0.25,2,2,0.28082896794109924,0.20333372692191798,4.951429811277839,1.900789114391154,0.20150303066606284
evogym,darwinian,0.25,2,3,0.28082896794109924,0.2222136416408215,5.920205667752291,2.408822146348199,0.2119662867356648
evogym,darwinian,0.25,2,4,0.3022087639358276,0.2252720992736485,6.776219282128244,2.9090131837454254,0.1900099364663987
evogym,darwinian,0.25,2,5,0.3022087639358276,0.23269255428872343,6.776219282128244,2.933541169958198,0.19638283433784126
evogym,darwinian,0.25,2,6,0.3022087639358276,0.24325839055105836,6.776219282128244,3.54717881382644,0.18244080993692108
evogym,darwinian,0.25,2,7,0.3024036568344878,0.2464299590375157,6.776219282128244,3.3780540066656988,0.19119427099935155
evogym,darwinian,0.25,2,8,0.3024036568344878,0.24938317847860944,6.776219282128244,3.5541543089200864,0.1859633210718554
evogym,darwinian,0.25,2,9,0.3036912631521202,0.25036972021115095,6.776219282128244,3.4940584890849964,0.19077093038086934
evogym,darwinian,0.25,2,10,0.3045452837449958,0.24918336630111138,6.776219282128244,3.484941190927576,0.18667912827518301
evogym,darwinian,0.25,2,11,0.3045452837449958,0.257277170837506,6.776219282128244,3.9030739361689997,0.17904170652547216
evogym,darwinian,0.25,2,12,0.3049548145028592,0.26229230053156716,6.776219282128244,3.8134675826190962,0.18950460439158273
evogym,darwinian,0.25,2,13,0.30535388468166136,0.2631350898600769,6.776219282128244,3.7465223737995665,0.19239742519520522
evogym,darwinian,0.25,2,14,0.30535388468166136,0.26725219356602825,6.776219282128244,4.038079513524599,0.18481463381081648
evogym,darwinian,0.25,2,15,0.30535388468166136,0.2646051901002293,6.776219282128244,4.0464929127274445,0.1819020016098713
evogym,darwinian,0.25,2,16,0.34659390041835625,0.26620403206932974,6.776219282128244,4.004400953967126,0.183399406699169
evogym,darwinian,0.25,2,17,0.34659390041835625,0.2738287812032507,6.776219282128244,4.203257621546283,0.18390498952267625
evogym,darwinian,0.25,2,18,0.34659390041835625,0.2764179139510343,6.776219282128244,4.289145974657185,0.18763097223517805
evogym,darwinian,0.25,2,19,0.34659390041835625,0.27624126706326757,6.776219282128244,4.373262577416826,0.19356452050393808
evogym,darwinian,0.25,2,20,0.34659390041835625,0.2667825686001176,7.067654159530573,4.425494630996022,0.1924382076299453
evogym,darwinian,0.25,2,21,0.4164409383778646,0.2492528864005477,9.058370049283651,4.360972113842702,0.1917677781348212
evogym,darwinian,0.25,2,22,0.4164409383778646,0.24808175675747854,9.058370049283651,4.578160345269001,0.18154903317049448
evogym,darwinian,0.25,2,23,0.4164409383778646,0.2575777574683985,9.058370049283651,4.603962084088095,0.19616783309963995
evogym,darwinian,0.25,2,24,0.4164409383778646,0.25107165666038295,9.058370049283651,4.429248704653647,0.19016991264439992
evogym,darwinian,0.25,2,25,0.4164409383778646,0.25133377631307446,9.058370049283651,4.547510830951785,0.18356059081435044
evogym,darwinian,0.25,2,26,0.4164409383778646,0.2605610930214378,9.058370049283651,4.703871788719409,0.18645406339231022
evogym,darwinian,0.25,2,27,0.4164409383778646,0.2596891671158508,9.058370049283651,4.466897304475468,0.18835389723399032
evogym,darwinian,0.25,2,28,0.4164409383778646,0.2599970240353197,9.058370049283651,4.627627573371772,0.17903321944218847
evogym,darwinian,0.25,2,29,0.4164409383778646,0.2709141892416214,9.058370049283651,4.658943882386753,0.19055944161775135
evogym,darwinian,0.25,2,30,0.4164409383778646,0.27185216876358503,9.058370049283651,4.6105365325789505,0.19179953200950936
evogym,darwinian,0.25,3,0,0.27899941484095947,0.22630356251493772,3.9159650486759756,1.8743038773487908,0.22168678419345111
evogym,darwinian,0.25,3,1,0.27899941484095947,0.22630356251493772,3.9159650486759756,1.8743038773487908,0.22168678419345111
evogym,darwinian,0.25,3,2,0.2838895892470623,0.22967265903559655,3.9159650486759756,1.955411924828402,0.2011169129034555
evogym,darwinian,0.25,3,3,0.3223136533416878,0.24552409100215714,4.386329632724667,2.234893021192172,0.20560307351745535
evogym,darwinian,0.25,3,4,0.3223136533416878,0.24234611883924922,4.507589786042098,2.3766600550796086,0.18726534294041258
evogym,darwinian,0.25,3,5,0.3223136533416878,0.24861398400437812,4.507589786042098,2.521222791967788,0.1952705915250046
evogym,darwinian,0.25,3,6,0.3416580315418233,0.24437716215070088,5.697724396009365,2.8494069281253767,0.1877378869912504
evogym,darwinian,0.25,3,7,0.3416580315418233,0.25353741041424943,5.697724396009365,2.8780431754330325,0.19483768008364702
evogym,darwinian,0.25,3,8,0.3416580315418233,0.254381568099824,5.697724396009365,3.0067397593620786,0.1869615157308936
evogym,darwinian,0.25,3,9,0.3550573115377357,0.257001099357825,5.697724396009365,3.389546630554346,0.1820579864174547
evogym,darwinian,0.25,3,10,0.3550573115377357,0.2473113440902857,5.697724396009365,3.0759277352645493,0.1873120704789931
evogym,darwinian,0.25,3,11,0.3550573115377357,0.2502465774526533,6.964189120680325,3.338033981473059,0.18578668317242966
evogym,darwinian,0.25,3,12,0.3550573115377357,0.2580651642780475,6.964189120680325,3.3350793284609717,0.19801235522594116
evogym,darwinian,0.25,3,13,0.3550573115377357,0.26095080509323576,6.964189120680325,3.493116940825125,0.19860153963319263
evogym,darwinian,0.25,3,14,0.3550573115377357,0.26562706451861035,6.964189120680325,3.486203170073943,0.20846615290615875
evogym,darwinian,0.25,3,15,0.3550573115377357,0.2704128259643996,6.964189120680325,3.7661643174055044,0.20635816150839462
evogym,darwinian,0.25,3,16,0.3550573115377357,0.26377385118449476,6.964189120680325,3.7618944350066217,0.1929658986200763
evogym,darwinian,0.25,3,17,0.3550573115377357,0.26141785526245387,6.964189120680325,3.884837749905389,0.18290193329276722
evogym,darwinian,0.25,3,18,0.3550573115377357,0.2643780388714369,6.964189120680325,3.803069392542672,0.19180567539794796
evogym,darwinian,0.25,3,19,0.3550573115377357,0.27240448359658037,6.964189120680325,4.3310599162427135,0.1771148259659044
evogym,darwinian,0.25,3,20,0.3550573115377357,0.269190021768182,6.964189120680325,4.139977087156238,0.18113538407865554
evogym,darwinian,0.25,3,21,0.3628058015377871,0.2721426590669213,6.964189120680325,4.434692171949635,0.16908485094838785
evogym,darwinian,0.25,3,22,0.3628058015377871,0.2723216237144149,6.964189120680325,4.226690705554514,0.17979618688751234
evogym,darwinian,0.25,3,23,0.3628058015377871,0.26122813531889777,6.964189120680325,4.1264821716868525,0.17008713985015117
evogym,darwinian,0.25,3,24,0.3628058015377871,0.26854366397458695,7.413119982703519,4.156059596942186,0.18316359868908866
evogym,darwinian,0.25,3,25,0.3628058015377871,0.2696625530199566,7.413119982703519,4.331056417933149,0.17389463250113524
evogym,darwinian,0.25,3,26,0.3628058015377871,0.2717921146159758,7.413119982703519,4.325164518612363,0.1768500700305132
evogym,darwinian,0.25,3,27,0.3628058015377871,0.27596235219843324,7.413119982703519,4.3387759414427585,0.1838493507747241
evogym,darwinian,0.25,3,28,0.3628058015377871,0.26508437081726827,7.413119982703519,4.454391387082797,0.16170177534835006
evogym,darwinian,0.25,3,29,0.3628058015377871,0.2759797427278163,7.413119982703519,4.544360849481071,0.17101809771276458
evogym,darwinian,0.25,3,30,0.3628058015377871,0.2741593782823414,7.413119982703519,4.503958721999744,0.16704873576075085
evogym,darwinian,0.4,1,0,0.3439136587252793,0.23187800476841428,4.495130087303869,1.8688916287984227,0.21711673581850904
evogym,darwinian,0.4,1,1,0.3439136587252793,0.23187800476841428,4.495130087303869,1.8688916287984227,0.21711673581850904
evogym,darwinian,0.4,1,2,0.35895118190824515,0.2397262460929348,5.650725003698231,2.056320900888775,0.2001352601020669
evogym,darwinian,0.4,1,3,0.35895118190824515,0.2765047131706181,5.650725003698231,2.6985672084006818,0.1928573015391378
evogym,darwinian,0.4,1,4,0.36115329261565926,0.2992796885337486,5.952533438471594,3.279039311428859,0.18030190350702477
evogym,darwinian,0.4,1,5,0.36115329261565926,0.31189209060681705,5.952533438471594,3.626963560033711,0.16700014572258867
evogym,darwinian,0.4,1,6,0.3622741194733255,0.29798213406042573,6.817036511242748,3.562326346763917,0.1699541095429371
evogym,darwinian,0.4,1,7,0.3622741194733255,0.2937872493279764,6.817036511242748,3.644831187043485,0.15679882294108935
evogym,darwinian,0.4,1,8,0.3622741194733255,0.3112678781186674,6.817036511242748,3.8532127245408803,0.17058478075826441
evogym,darwinian,0.4,1,9,0.3710542976056975,0.2997524515721042,6.817036511242748,3.8030424315057707,0.15849001654708694
evogym,darwinian,0.4,1,10,0.37931042723687103,0.32629429718168335,6.817036511242748,4.40077698632164,0.14699287569844965
evogym,darwinian,0.4,1,11,0.37931042723687103,0.30663163700069285,6.956710244944648,3.9828835979535286,0.16465249906408788
evogym,darwinian,0.4,1,12,0.39125812193339343,0.3211855695529821,6.956710244944648,4.528719426371302,0.14447528233498214
evogym,darwinian,0.4,1,13,0.39125812193339343,0.3168842859654317,6.956710244944648,4.498372726578142,0.14276237548350437
evogym,darwinian,0.4,1,14,0.39125812193339343,0.3046783111316286,8.059907111659715,4.604959034182709,0.14312584454487823
evogym,darwinian,0.4,1,15,0.41163934006418285,0.3101156612311112,8.059907111659715,4.658124491341409,0.14951558729971443
evogym,darwinian,0.4,1,16,0.41163934006418285,0.30554905356909756,8.059907111659715,4.690456297629405,0.14401272699021733
evogym,darwinian,0.4,1,17,0.41163934006418285,0.3186451665406814,8.059907111659715,5.055762300987671,0.1374227227056092
evogym,darwinian,0.4,1,18,0.41163934006418285,0.3197391278017674,8.059907111659715,4.961715643181346,0.14842708713113695
evogym,darwinian,0.4,1,19,0.41163934006418285,0.31748513588822935,8.059907111659715,5.054565125561943,0.1385755660809938
evogym,darwinian,0.4,1,20,0.41163934006418285,0.3215298696828482,8.059907111659715,5.130841639841711,0.13855675859899214
evogym,darwinian,0.4,1,21,0.41163934006418285,0.3280060117571252,8.059907111659715,5.3666493430456095,0.13356677579711734
evogym,darwinian,0.4,1,22,0.4217047914194048,0.31547814265578344,8.392356295376754,5.212006045334226,0.13459366832506806
evogym,darwinian,0.4,1,23,0.4217047914194048,0.31386586174485076,8.800616517502892,5.330719623207597,0.13044270091821392
evogym,darwinian,0.4,1,24,0.4217047914194048,0.3132267097676295,8.800616517502892,5.26787089940347,0.13698431111337403
evogym,darwinian,0.4,1,25,0.43089915963886055,0.3135331725585885,8.800616517502892,5.396174324406621,0.1323267247463141
evogym,darwinian,0.4,1,26,0.43182814186330826,0.31696404211728973,9.340987516495584,5.578898658486322,0.1335112214981147
evogym,darwinian,0.4,1,27,0.43182814186330826,0.3259833286611895,9.340987516495584,5.888274124238977,0.12759415349529343
evogym,darwinian,0.4,1,28,0.43182814186330826,0.32442892968248094,9.340987516495584,5.656206882379804,0.14023902451322506
evogym,darwinian,0.4,1,29,0.43182814186330826,0.32501430774332424,9.340987516495584,5.664137817781297,0.13992826113350726
evogym,darwinian,0.4,1,30,0.43182814186330826,0.3400415472419828,9.340987516495584,6.230570512025773,0.12273887269806913
evogym,darwinian,0.4,2,0,0.34976939208411817,0.2646719996283304,3.7803658099305877,1.7645719238752675,0.2370070194522881
evogym,darwinian,0.4,2,1,0.34976939208411817,0.2646719996283304,3.7803658099305877,1.7645719238752675,0.2370070194522881
evogym,darwinian,0.4,2,2,0.34976939208411817,0.26397032397934145,3.7803658099305877,1.7375307906062243,0.21599053286214587
evogym,darwinian,0.4,2,3,0.34976939208411817,0.2785615249903973,4.978115281227767,2.1697499082642024,0.2113494588496299
evogym,darwinian,0.4,2,4,0.3675332905528988,0.2944584542590985,5.104816591772834,2.5365073844466446,0.201940227937
evogym,darwinian,0.4,2,5,0.3675332905528988,0.2938995679462989,5.104816591772834,2.546054903154739,0.20397186855519028
evogym,darwinian,0.4,2,6,0.3675332905528988,0.3004905012613901,5.716417343330701,2.929790880272211,0.19131714032613134
evogym,darwinian,0.4,2,7,0.38126088615449844,0.304575794864226,5.716417343330701,3.100973676230293,0.17963869454432121
evogym,darwinian,0.4,2,8,0.38126088615449844,0.31023396900628236,5.716417343330701,3.200367827482027,0.1811783156390294
evogym,darwinian,0.4,2,9,0.38126088615449844,0.31223329182575943,5.716417343330701,3.4694211313286063,0.1621089335968838
evogym,darwinian,0.4,2,10,0.38126088615449844,0.30678541702465084,5.716417343330701,3.4322899159123295,0.1668431144470559
